ibge,uf,region
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,ND
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,ND
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,
270150,AL,ND
270150,AL,
270150,AL,
270150,AL,
270150,AL,ND
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,ND
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270160,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,ND
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,ND
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270170,AL,
270180,AL,
270190,AL,
270190,AL,ND
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,ND
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270190,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,ND
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270200,AL,
270210,AL,
270210,AL,
270210,AL,
270210,AL,
270210,AL,
270210,AL,
270210,AL,
270210,AL,
270210,AL,
270210,AL,
270210,AL,ND
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,
270220,AL,ND
270220,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,
270230,AL,ND
270230,AL,
270235,AL,
270235,AL,
270235,AL,ND
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270235,AL,
270240,AL,
270240,AL,ND
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,ND
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270240,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,ND
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270250,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,ND
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,ND
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,
270255,AL,ND
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,ND
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270260,AL,
270270,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,ND
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270280,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,ND
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270290,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,ND
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270300,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,ND
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,
270310,AL,ND
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,ND
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270320,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,ND
270330,AL,
270330,AL,ND
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
270330,AL,
